,adm,date,value
0,Abra,2013-01-01,0.0
1,Abra,2013-02-01,0.0
2,Abra,2013-03-01,0.0
3,Abra,2013-04-01,0.0
4,Abra,2013-05-01,0.0
5,Abra,2013-06-01,0.0
6,Abra,2013-07-01,0.0
7,Abra,2013-08-01,0.0
8,Abra,2013-09-01,0.0
9,Abra,2013-10-01,0.0
10,Abra,2013-11-01,0.0
11,Abra,2013-12-01,0.0
12,Abra,2014-01-01,8.335
13,Abra,2014-02-01,35.0
14,Abra,2014-03-01,19.753999999999998
15,Abra,2014-04-01,0.0
16,Abra,2014-05-01,0.0
17,Abra,2014-06-01,50.0
18,Abra,2014-07-01,8.453333333333333
19,Abra,2014-08-01,40.84047619047618
20,Abra,2014-09-01,50.0251724137931
21,Abra,2014-10-01,47.10870967741935
22,Abra,2014-11-01,36.61285714285714
23,Abra,2014-12-01,32.65083333333333
24,Abra,2015-01-01,41.898947368421055
25,Abra,2015-02-01,39.035714285714285
26,Abra,2015-03-01,44.053333333333335
27,Abra,2015-04-01,30.3
28,Abra,2015-05-01,43.0
29,Abra,2015-06-01,51.556875
30,Abra,2015-07-01,58.84631578947368
31,Abra,2015-08-01,68.0336842105263
32,Abra,2015-09-01,55.12785714285715
33,Abra,2015-10-01,47.926315789473676
34,Abra,2015-11-01,47.62255813953489
35,Abra,2015-12-01,52.83058823529411
36,Abra,2016-01-01,39.824444444444445
37,Abra,2016-02-01,48.064499999999995
38,Abra,2016-03-01,45.89060606060605
39,Agusan del Norte,2013-01-01,0.0
40,Agusan del Norte,2013-02-01,0.0
41,Agusan del Norte,2013-03-01,0.0
42,Agusan del Norte,2013-04-01,0.0
43,Agusan del Norte,2013-05-01,0.0
44,Agusan del Norte,2013-06-01,0.0
45,Agusan del Norte,2013-07-01,0.0
46,Agusan del Norte,2013-08-01,0.0
47,Agusan del Norte,2013-09-01,0.0
48,Agusan del Norte,2013-10-01,0.0
49,Agusan del Norte,2013-11-01,0.0
50,Agusan del Norte,2013-12-01,0.0
51,Agusan del Norte,2014-01-01,0.0
52,Agusan del Norte,2014-02-01,0.0
53,Agusan del Norte,2014-03-01,0.0
54,Agusan del Norte,2014-04-01,0.0
55,Agusan del Norte,2014-05-01,0.0
56,Agusan del Norte,2014-06-01,0.0
57,Agusan del Norte,2014-07-01,0.0
58,Agusan del Norte,2014-08-01,93.75
59,Agusan del Norte,2014-09-01,96.66499999999999
60,Agusan del Norte,2014-10-01,80.0
61,Agusan del Norte,2014-11-01,63.332499999999996
62,Agusan del Norte,2014-12-01,63.335
63,Agusan del Norte,2015-01-01,56.375
