date,id,value,adm
2012-06-19,3,17.31,"NCR, Fourth District"
2012-07-03,3,15.52,"NCR, Fourth District"
2012-07-17,3,30.0,"NCR, Fourth District"
2012-07-24,3,22.64,"NCR, Fourth District"
2012-09-11,3,28.13,"NCR, Fourth District"
2012-09-18,3,25.76,"NCR, Fourth District"
2012-09-25,3,15.71,"NCR, Fourth District"
2012-10-02,3,18.75,"NCR, Fourth District"
2012-10-09,3,21.54,"NCR, Fourth District"
2012-10-16,3,26.32,"NCR, Fourth District"
2012-10-23,3,19.05,"NCR, Fourth District"
2012-10-30,3,15.87,"NCR, Fourth District"
2012-11-13,3,20.0,"NCR, Fourth District"
2012-11-19,3,11.11,"NCR, Fourth District"
2012-11-26,3,11.11,"NCR, Fourth District"
2012-12-04,3,11.11,"NCR, Fourth District"
2012-12-11,3,11.11,"NCR, Fourth District"
2012-12-18,3,11.11,"NCR, Fourth District"
2013-07-16,3,23.33,"NCR, Fourth District"
2013-07-23,3,34.43,"NCR, Fourth District"
2013-07-30,3,20.34,"NCR, Fourth District"
2013-08-07,3,10.91,"NCR, Fourth District"
2013-08-14,3,23.91,"NCR, Fourth District"
2013-09-04,3,24.44,"NCR, Fourth District"
2013-09-11,3,15.91,"NCR, Fourth District"
2013-09-16,3,10.31,"NCR, Fourth District"
2013-09-18,3,10.87,"NCR, Fourth District"
2014-07-28,3,9.65,"NCR, Fourth District"
2014-08-05,3,16.82,"NCR, Fourth District"
2014-08-12,3,12.15,"NCR, Fourth District"
2014-08-16,3,8.57,"NCR, Fourth District"
2014-08-26,3,14.56,"NCR, Fourth District"
2014-09-02,3,12.62,"NCR, Fourth District"
2014-09-09,3,14.68,"NCR, Fourth District"
2014-09-23,3,12.37,"NCR, Fourth District"
2014-09-30,3,9.09,"NCR, Fourth District"
2014-10-07,3,17.89,"NCR, Fourth District"
2014-10-14,3,13.68,"NCR, Fourth District"
2014-10-21,3,12.79,"NCR, Fourth District"
2014-11-03,3,10.26,"NCR, Fourth District"
2014-11-11,3,16.42,"NCR, Fourth District"
2014-11-18,3,20.0,"NCR, Fourth District"
2014-11-25,3,13.79,"NCR, Fourth District"
2015-06-21,3,9.18,"NCR, Fourth District"
2015-07-28,3,13.19,"NCR, Fourth District"
2015-08-04,3,19.35,"NCR, Fourth District"
2015-08-11,3,16.67,"NCR, Fourth District"
2015-08-18,3,17.78,"NCR, Fourth District"
2015-08-25,3,20.43,"NCR, Fourth District"
2015-09-01,3,21.65,"NCR, Fourth District"
2015-09-08,3,19.77,"NCR, Fourth District"
2015-11-10,3,0.0,"NCR, Fourth District"
2015-11-17,3,0.0,"NCR, Fourth District"
2015-11-24,3,0.0,"NCR, Fourth District"
2016-01-12,3,0.0,"NCR, Fourth District"
2016-01-19,3,0.0,"NCR, Fourth District"
2016-01-26,3,0.0,"NCR, Fourth District"
2012-06-19,2,12.86,"NCR, Fourth District"
2012-06-26,2,5.71,"NCR, Fourth District"
2012-07-03,2,8.96,"NCR, Fourth District"
2012-07-17,2,40.48,"NCR, Fourth District"
2012-07-24,2,46.03,"NCR, Fourth District"
2012-09-11,2,28.38,"NCR, Fourth District"
2012-09-18,2,31.94,"NCR, Fourth District"
2012-09-25,2,31.76,"NCR, Fourth District"
2012-10-02,2,30.77,"NCR, Fourth District"
2012-10-09,2,33.1,"NCR, Fourth District"
2012-10-16,2,40.43,"NCR, Fourth District"
2012-10-23,2,35.92,"NCR, Fourth District"
2012-11-13,2,39.42,"NCR, Fourth District"
2012-11-19,2,38.73,"NCR, Fourth District"
2012-11-26,2,33.8,"NCR, Fourth District"
2012-12-04,2,33.8,"NCR, Fourth District"
2012-12-11,2,32.39,"NCR, Fourth District"
2012-12-18,2,22.39,"NCR, Fourth District"
2013-07-16,2,13.19,"NCR, Fourth District"
2013-07-23,2,18.13,"NCR, Fourth District"
2013-07-30,2,45.05,"NCR, Fourth District"
2013-08-06,2,48.9,"NCR, Fourth District"
2013-08-14,2,44.25,"NCR, Fourth District"
2013-09-10,2,62.07,"NCR, Fourth District"
2013-09-17,2,28.49,"NCR, Fourth District"
2013-09-25,2,38.95,"NCR, Fourth District"
2013-10-01,2,52.91,"NCR, Fourth District"
2013-10-08,2,45.35,"NCR, Fourth District"
2013-10-17,2,29.65,"NCR, Fourth District"
2013-10-22,2,48.26,"NCR, Fourth District"
2013-10-24,2,36.63,"NCR, Fourth District"
2013-11-12,2,32.56,"NCR, Fourth District"
2013-11-19,2,47.09,"NCR, Fourth District"
