adm_level,date,JAXA_GPM_L3_GSMaP_v6_operational_hourlyPrecipRateGC,MODIS_006_MOD11A1_LST_Day_1km,MODIS_006_MOD11A1_LST_Night_1km,MODIS_006_MYD13A1_EVI,NASA_FLDAS_NOAH01_C_GL_M_V001_Qair_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Rainf_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_SoilMoi00_10cm_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_SoilTemp00_10cm_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Tair_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Wind_f_tavg
Abra,2012-06-01,0.43086684,15043.553999999998,14639.858,4180.815,0.016763346000000002,0.00017206962999999999,0.42550775,296.31796,297.09457000000003,4.97715
Abra,2012-07-01,0.37315392,15020.108,14632.604,3662.6284,0.01636227,0.00018559712,0.4288224,295.84708,296.72488,3.4787845999999996
Abra,2012-08-01,0.6206645000000001,14917.032,14486.046,3183.575,0.016541112,0.00024546737999999997,0.43218037,295.6657,296.15265,6.328744400000001
Abra,2012-09-01,0.10662038,14980.0205,14696.892,4785.534000000001,0.01596683,9.9310586e-05,0.41971850000000005,296.26144,296.81122,3.0096874
Abra,2012-10-01,0.053113062,14986.928,14666.716,4770.0083,0.014126711,3.9386523e-05,0.39068675,295.36737,295.53925,4.924677
Abra,2012-11-01,0.01708798,15037.713,14696.787,4477.5903,0.014546088,3.1188298e-05,0.36491406,296.01535,296.57947,3.1348832000000004
Abra,2012-12-01,0.02484563,15016.385,14658.51,4064.4753,0.0134072825,3.3097516e-05,0.33906722,295.31958,295.44562,4.674698
Abra,2013-01-01,0.01182656,14978.505,14557.251,3921.3790000000004,0.011683025,8.33541e-06,0.2889595999999999,294.48913999999996,293.92303,5.2254024
Abra,2013-02-01,0.0076701916,15112.7705,14673.938,3848.792,0.012277173999999998,5.1018837e-06,0.23491073,296.7403,295.9877,4.540266
Abra,2013-03-01,0.006973816,15173.5,14697.597,3844.4028,0.01293775,7.574207299999999e-06,0.21940766,298.0412,296.82443,3.457057
Abra,2013-04-01,0.055693135,15236.892,14729.0625,4014.0078,0.014270481000000002,4.9560047e-05,0.24153115,299.57416,298.07922,2.9168189
Abra,2013-05-01,0.11456153,15186.782,14705.011,4261.8394,0.015286458999999999,8.529845e-05,0.35820937,297.24835,297.93594,2.4308798
Abra,2013-06-01,0.18543420000000002,15069.184,14713.425,5006.948,0.016088745,8.665196e-05,0.38120955,297.29938,298.08682000000005,2.5559344
Abra,2013-07-01,0.16503504,15029.713,14748.331,4513.58,0.0156833,0.000113144146,0.4084085,296.1753,297.04462,2.4074357
Abra,2013-08-01,0.5230662,15006.771,14566.24,4379.782,0.016099598,0.00022596197,0.43046916,295.7667,296.78943,4.8515725
Abra,2013-09-01,0.29709220000000003,14970.327,14648.302,4322.3447,0.015869275,0.0001623665,0.42558023,295.8147,296.55328,3.6634017999999995
Abra,2013-10-01,0.06294749,14934.506000000001,14612.528999999999,4691.8574,0.014250345,5.4347056e-05,0.39682776,295.3699,295.46407999999997,4.819568
Abra,2013-11-01,0.060069483,14948.103000000001,14657.442,4571.9214,0.014695723,0.000100194266,0.4035875,295.30343999999997,295.74588,5.436302700000001
Abra,2013-12-01,0.056675248,14937.409,14584.173,4338.9556,0.013499991999999999,1.9509434e-05,0.36603516,294.22485,294.27682000000004,4.833844999999999
Abra,2014-01-01,0.0024040889000000003,14910.831,14496.3955,4042.1611,0.010450706,3.4492000000000004e-06,0.31171220000000005,292.38657,291.9297,5.59434
Abra,2014-02-01,0.004199299,15026.954,14560.163,3904.2185,0.011425138,3.9882207e-06,0.25374424,294.47643999999997,293.83902,3.5882921000000003
Abra,2014-03-01,0.008012960999999999,15159.765,14659.851,3834.4832,0.012029305,6.028563000000001e-06,0.21552433,297.06546000000003,296.0004,3.74937
Abra,2014-04-01,0.00805753,15224.958999999999,14714.46,3881.033,0.013649952,3.256504000000001e-05,0.24878302,299.10632000000004,297.9801,2.6630993
Abra,2014-05-01,0.050217237000000005,15159.938,14712.097,4385.608,0.01485575,4.7129335e-05,0.31961358,298.75226000000004,298.98315,2.4058268
Abra,2014-06-01,0.32854682,15040.11,14666.193000000001,4127.306,0.01626493,0.0001857143,0.39430833,297.014,297.92062000000004,3.8956230000000005
Abra,2014-07-01,0.25791794,15063.604,14710.376,3873.978,0.01645465,0.00017082488999999997,0.42315674,296.4673,297.24054,3.4278154
Abra,2014-08-01,0.25508478,15020.296,14710.891000000001,4845.83,0.01592168,0.00012590403999999998,0.4259807,295.9554,296.79247999999995,4.2510824000000005
Abra,2014-09-01,0.4682577,14999.417,14718.473,4562.7427,0.016059468,0.00025721092,0.4270208,296.31177,297.1427,4.2718263
Abra,2014-10-01,0.06134613,15012.731000000002,14680.946000000002,4715.447,0.015001156000000002,2.5267585e-05,0.3782231,296.36782999999997,296.43967000000004,4.7475533
Abra,2014-11-01,0.015559647,15017.229,14658.078000000001,4410.3394,0.013957474,1.8738129999999998e-05,0.3346072,295.96744,295.8958,4.78756
Abra,2014-12-01,0.018762859,14974.413999999999,14612.317,4140.8027,0.013012611,1.4243796e-05,0.2945072,295.18604,294.69287,6.5701017
Abra,2015-01-01,0.012535141000000001,14967.086000000001,14552.767,4060.645,0.010826121000000001,6.0328830000000005e-06,0.24814242,293.60352,292.84738,5.610494999999999
Abra,2015-02-01,0.004362808,15065.768,14562.813,3721.232,0.011423083999999998,4.220832599999999e-06,0.22383925,295.06335,293.83328,4.370735
Abra,2015-03-01,0.012383493,15208.747,14663.518999999998,3823.4705,0.011846706,1.124098e-05,0.22497864,297.21777000000003,296.0965,3.0775363
Abra,2015-04-01,0.018668333,15266.124,14726.636,3897.1929999999998,0.013429769,1.8984865e-05,0.24329191,299.34143,297.60213999999996,3.1309972000000004
Abra,2015-05-01,0.07814874,15246.958,14762.785,4170.9897,0.014467074,6.757393e-05,0.29611868,299.3029,298.61773999999997,2.9178545
Abra,2015-06-01,0.06959429,15114.963,14728.857,4309.9995,0.015653402,5.79113e-05,0.33188188,299.0401,298.76974,2.4096794
Abra,2015-07-01,0.5229281,15056.428,14707.627,2994.1973,0.0160796,0.00023253792,0.40730935,296.5557,296.88043,5.741864
Abra,2015-08-01,0.4265576,15040.06,14725.928999999998,4268.8804,0.016101392,0.00022321443,0.42436814,296.5582,297.22292999999996,4.685432
Abra,2015-09-01,0.08027778599999999,15027.685,14702.233999999999,4745.611,0.015981698,6.308147e-05,0.41239583,296.7909,297.2203,2.6518482999999997
Abra,2015-10-01,0.22138473,15019.281,14696.726999999999,4821.315,0.015641183,9.0867106e-05,0.40115500000000004,296.21912000000003,296.71454,5.360737
Abra,2015-11-01,0.005664542,15033.258,14709.921999999999,4666.8823,0.0143390745,1.1895392e-05,0.36241743,296.13596,296.38034,4.576075599999999
Abra,2015-12-01,0.07801234,15010.783000000001,14666.159,4277.6885,0.01397749,4.9276845000000005e-05,0.32716718,295.65637000000004,295.44162,5.0382385
Abra,2016-01-01,0.008072211999999999,14971.791000000001,14632.382,4210.4717,0.01270048,4.8207958e-06,0.2891897,294.94498,294.66537,4.1206574
Abra,2016-02-01,0.014921917,15023.11,14614.47,3875.377,0.0120007545,2.776624e-06,0.23256,295.45367000000005,294.36768,4.5854483
