,date,id,latitude,longitude,name,value,adm
0,2012-06-19,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,17.31,"NCR, Fourth District"
1,2012-07-03,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,15.52,"NCR, Fourth District"
2,2012-07-17,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,30.0,"NCR, Fourth District"
3,2012-07-24,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,22.64,"NCR, Fourth District"
4,2012-09-11,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,28.13,"NCR, Fourth District"
5,2012-09-18,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,25.76,"NCR, Fourth District"
6,2012-09-25,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,15.71,"NCR, Fourth District"
7,2012-10-02,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,18.75,"NCR, Fourth District"
8,2012-10-09,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,21.54,"NCR, Fourth District"
9,2012-10-16,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,26.32,"NCR, Fourth District"
10,2012-10-23,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,19.05,"NCR, Fourth District"
11,2012-10-30,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,15.87,"NCR, Fourth District"
12,2012-11-13,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,20.0,"NCR, Fourth District"
13,2012-11-19,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,11.11,"NCR, Fourth District"
14,2012-11-26,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,11.11,"NCR, Fourth District"
15,2012-12-04,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,11.11,"NCR, Fourth District"
16,2012-12-11,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,11.11,"NCR, Fourth District"
17,2012-12-18,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,11.11,"NCR, Fourth District"
18,2013-07-16,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,23.33,"NCR, Fourth District"
19,2013-07-23,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,34.43,"NCR, Fourth District"
20,2013-07-30,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,20.34,"NCR, Fourth District"
21,2013-08-07,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,10.91,"NCR, Fourth District"
22,2013-08-14,3,14.5044,121.056,Kapitan Jose Cardones Memorial School,23.91,"NCR, Fourth District"
